title,price_pln,brand,model,year,mileage_km,fuel,transmission,image_url
"Honda Civic - Pierwszy właściciel, 111000tys przebieg, salon Polska",17500,,Civic,2009,111000,Benzyna,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/329wla86cggv2-PL/image;s=1148x2040
Vw t5 Multivan 2.5 TDI ladny stan,48900,,Multivan,2004,262000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/u4epw0ldyeas3-PL/image;s=1000x750
Vw t5 Multivan 2.5 TDI ladny stan,48900,,Multivan,2004,262000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/u4epw0ldyeas3-PL/image;s=1000x750
"Fiat Panda 1.1 klimatyzacja, wspomaganie, nowe oc",4900,,Panda,2005,198000,Benzyna,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/gknnt4v9237n-PL/image;s=1000x750
"Fiat Panda 1.1 klimatyzacja, wspomaganie, nowe oc",4900,,Panda,2005,198000,Benzyna,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/gknnt4v9237n-PL/image;s=1000x750
Nissan Leaf elektryk,28200,,Leaf,2016,150000,Elektryczny,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/p54lnm8u4mai1-PL/image;s=750x1000
Nissan Leaf elektryk,28200,,Leaf,2016,150000,Elektryczny,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/p54lnm8u4mai1-PL/image;s=750x1000
Peugeot 508 SW Automat 2.2 HDI GT 204 km,35900,,508,2012,182000,Diesel,Automatyczna,https://ireland.apollo.olxcdn.com:443/v1/files/b20k4r9irdft3-PL/image;s=563x1000
Peugeot 508 SW Automat 2.2 HDI GT 204 km,35900,,508,2012,182000,Diesel,Automatyczna,https://ireland.apollo.olxcdn.com:443/v1/files/b20k4r9irdft3-PL/image;s=563x1000
Ford Mondeo 2.0 TDCi,29000,,Mondeo,2010,246450,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/cfch53sqn4jd1-PL/image;s=4000x3000
Ford Mondeo 2.0 TDCi,29000,,Mondeo,2010,246450,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/cfch53sqn4jd1-PL/image;s=4000x3000
Volvo V40 1.9D // 2002 // Klima // Alufelgi // El. Szyby // Zamiana //,2490,,V40,2002,278210,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/yj90a5bialcb-PL/image;s=1020x768
Volvo V40 1.9D // 2002 // Klima // Alufelgi // El. Szyby // Zamiana //,2490,,V40,2002,278210,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/yj90a5bialcb-PL/image;s=1020x768
Opel Zafira 1.8B 150 KM 2007R 7 Osób Sprowadzony Gwarancja Opłacon HAK,10500,,Zafira,2007,270000,Benzyna,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/uua8ep9nswrn-PL/image;s=1080x720
Opel Zafira 1.8B 150 KM 2007R 7 Osób Sprowadzony Gwarancja Opłacon HAK,10500,,Zafira,2007,270000,Benzyna,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/uua8ep9nswrn-PL/image;s=1080x720
Bmw e46 coupe 2.2 R6,12500,,3,2001,345000,Benzyna,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/ehhnynlza8ap1-PL/image;s=1000x750
Bmw e46 coupe 2.2 R6,12500,,3,2001,345000,Benzyna,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/ehhnynlza8ap1-PL/image;s=1000x750
Seat Leon Salon Polska Full LED ZAMIANA,36900,,Leon,2016,178000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/k4jdu0pzd9kd-PL/image;s=1000x750
Seat Leon Salon Polska Full LED ZAMIANA,36900,,Leon,2016,178000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/k4jdu0pzd9kd-PL/image;s=1000x750
VW Caddy 2.0 150 KM Salon Polska Uszkodzony !!,29600,,Caddy,2016,237821,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/pug2rpg00v742-PL/image;s=1000x750
VW Caddy 2.0 150 KM Salon Polska Uszkodzony !!,29600,,Caddy,2016,237821,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/pug2rpg00v742-PL/image;s=1000x750
